Date,Open,Close,High,Low,Volume,Supply,Exchange
28-Oct-21,$9.00 ,$9.08 ,$9.08 ,$9.00 ,"$1,362.00 ","7,023,964",INX Securities
29-Oct-21,$9.08 ,$9.00 ,$9.08 ,$9.00 ,"$13,545.00 ","7,023,964",INX Securities
30-Oct-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
31-Oct-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
1-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
2-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
3-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
4-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
5-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
6-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
7-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
8-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
9-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
10-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
11-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
12-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
13-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
14-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
15-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
16-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
17-Nov-21,$9.00 ,$9.00 ,$9.00 ,$9.00 ,$0.00 ,"7,023,964",INX Securities
18-Nov-21,$9.00 ,$10.00 ,$10.00 ,$9.00 ,"$10,000.00 ","7,023,964",INX Securities
19-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
20-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
21-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
22-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
23-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
24-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
25-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
26-Nov-21,$10.00 ,$10.00 ,$10.00 ,$10.00 ,$0.00 ,"7,023,964",INX Securities
