Date,Open,Close,High,Low,Volume,MarketCap,Supply,Exchange
"Sep 28, 2021",$16.00,$16.00,$16.00,$16.00,$336.00,"$112,383,424.00","7,023,964",Securitize Markets
"Sep 29, 2021",$16.00,$15.00,$16.00,$15.00,"$3,780.00","$105,359,460.00","7,023,964",Securitize Markets
"Sep 30, 2021",$15.00,$14.50,$15.00,$14.50,"$1,450.00","$101,847,478.00","7,023,964",Securitize Markets
"Oct 1, 2021",$14.50,$14.50,$14.50,$14.50,$0.00,"$101,847,478.00","7,023,964",Securitize Markets
"Oct 2, 2021",$14.50,$14.50,$14.50,$14.50,$0.00,"$101,847,478.00","7,023,964",Securitize Markets
"Oct 3, 2021",$14.50,$14.50,$14.50,$14.50,$0.00,"$101,847,478.00","7,023,964",Securitize Markets
"Oct 4, 2021",$14.50,$13.50,$14.50,$13.50,"$2,025.00","$94,823,514.00","7,023,964",Securitize Markets
"Oct 5, 2021",$13.50,$13.35,$13.50,$13.35,$133.50,"$93,769,919.40","7,023,964",Securitize Markets
"Oct 6, 2021",$13.35,$13.35,$13.35,$13.35,$0.00,"$93,769,919.40","7,023,964",Securitize Markets
"Oct 7, 2021",$13.35,$12.95,$13.35,$12.95,"$2,590.00","$90,960,333.80","7,023,964",Securitize Markets
"Oct 8, 2021",$12.95,$12.95,$12.95,$12.95,$0.00,"$90,960,333.80","7,023,964",Securitize Markets
"Oct 9, 2021",$12.95,$12.95,$12.95,$12.95,$0.00,"$90,960,333.80","7,023,964",Securitize Markets
"Oct 10, 2021",$12.95,$12.95,$12.95,$12.95,$0.00,"$90,960,333.80","7,023,964",Securitize Markets
"Oct 11, 2021",$12.95,$12.50,$12.95,$12.50,$625.00,"$87,799,550.00","7,023,964",Securitize Markets
"Oct 12, 2021",$12.50,$12.50,$12.50,$12.50,$0.00,"$87,799,550.00","7,023,964",Securitize Markets
"Oct 13, 2021",$12.50,$12.50,$12.50,$12.50,$0.00,"$87,799,550.00","7,023,964",Securitize Markets
"Oct 14, 2021",$12.50,$12.50,$12.50,$12.50,$0.00,"$87,799,550.00","7,023,964",Securitize Markets
"Oct 15, 2021",$12.50,$10.99,$12.50,$10.99,"$3,736.60","$77,193,364.36","7,023,964",Securitize Markets
"Oct 16, 2021",$10.99,$10.99,$10.99,$10.99,$0.00,"$77,193,364.36","7,023,964",Securitize Markets
"Oct 17, 2021",$10.99,$10.99,$10.99,$10.99,$0.00,"$77,193,364.36","7,023,964",Securitize Markets
"Oct 18, 2021",$10.99,$10.99,$10.99,$10.99,$274.75,"$77,193,364.36","7,023,964",Securitize Markets
"Oct 19, 2021",$10.99,$12.49,$12.49,$10.99,"$6,294.96","$87,729,310.36","7,023,964",Securitize Markets
"Oct 20, 2021",$12.49,$12.49,$12.49,$12.49,$0.00,"$87,729,310.36","7,023,964",Securitize Markets
"Oct 21, 2021",$12.49,$9.00,$12.49,$9.00,"$9,000.00","$63,215,676.00","7,023,964",Securitize Markets
"Oct 22, 2021",$9.00,$9.00,$9.00,$9.00,$0.00,"$63,215,676.00","7,023,964",Securitize Markets
"Oct 23, 2021",$9.00,$9.00,$9.00,$9.00,$0.00,"$63,215,676.00","7,023,964",Securitize Markets
"Oct 24, 2021",$9.00,$9.00,$9.00,$9.00,$0.00,"$63,215,676.00","7,023,964",Securitize Markets
"Oct 25, 2021",$9.00,$12.00,$12.00,$9.00,"$1,200.00","$84,287,568.00","7,023,964",Securitize Markets
"Oct 26, 2021",$12.00,$9.00,$12.00,$9.00,"$16,380.00","$63,215,676.00","7,023,964",Securitize Markets
"Oct 27, 2021",$9.00,$9.00,$9.00,$9.00,$0.00,"$63,215,676.00","7,023,964",Securitize Markets
"Oct 28, 2021",$9.00,$9.00,$9.00,$9.00,$729.00,"$63,215,676.00","7,023,964",Securitize Markets
